,movie_name,main_actors,aud_score,critic_score,netizen_score,score,nickname,reviews
0,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,1,어쩌라고(dpfk****),아니 개봉당일날 9시 땡하고 부터 평점 쏟아지는게 말이 돼냐? 요즘 조조는 꼭두새벽부터 함? 백번양보해서 시사회때 봤다 쳐도 이렇게나 많이 봤다고? 죄다 똑같은 말투에? 음원이고 영화고 조작질 역겹다 진짜
1,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,bohemian(mabu****),"난 전도연의 화류계 캐릭터가 좋다. 무뢰한, 너는 내 운명, 카운트다운...그리고 지푸라기"
2,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,최정규(cjg4****),전도연 연기 진짜 오진다...와 이 영화에서 완전 섹시하게 나온다 역시 명불허전임...
3,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,달다(fxko****),8명의 배우가 모두 주인공 같은 느낌.
4,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,9,써니(tlag****),개존잼 역시 전도연이죠? 카리스마 미쳐벌여ㅠㅁㅠ
5,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,까칠소녀(oper****),"연출, 연기, 스토리 모두 대박...무조건 보세요."
6,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,9,haeunnnnn(0_80****),진짜 보고싶었던 영환데 드디어 봤습니당 기다린 보람이 있네용ㅋㅋㅋ 등장인물이 많았는데 영화 속에서 잘 풀어낸 것 같아요 강추합니당 !!
7,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,trau****,스토리가 짱짱하네요~ 심리적인 긴장감을 잘 살린 영화인것 같네요~ 인기좀 끌듯...
8,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,9,Cjin(dlck****),연기오지고 스릴오지고
9,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,9,hojo****,한국식 피칠갑을 한 타란티노 영화
10,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,꽁끼(bamb****),"연기 쩐다잉 ,,, 또 보고 싶음 ㅠ"
11,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,Linus(getu****),"전도연을 위한, 전도연에 의한 영화! 데뷔작이라고는 믿을수 없는 연출력에놀랐다~"
12,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,7,할렘(upge****),갖은 재료 다 집어넣었는데 왜 맛이 안나지?
13,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,시무룩(simu****),전도연 등장하자마자 걍 스크린 장악함ㅋㅋㅋㅋ역시 전도연이 선택한 작품은 안보고 넘어갈 수 없지
14,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,myd5q3ji7(i2g1****),이 캐스팅 너무 마음에 든다.영화보고나서도 할말이 많아지는 영화
15,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,9,파리투나잇(lgxe****),솔직히 이 영화 돈주고 볼만합니다ㅎㅎ
16,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,꿈꾸는피터팬(dowk****),"믿고보는 칸의 여왕 전도연!! 정우성, 배성우 등등 진짜 미친 명품 조연들...!! 스릴러의 긴장도, 몰입도 괜찮은 영화~"
17,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,10,김연아이유(revo****),진짜 전도연은 대체불가다.
18,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,1,DooGi(vxor****),영화 보는 내내 제발 한순간만이라도 재미있는 장면 나오길 지푸라기 잡는 심정으로 봤는데 없음
19,지푸라기라도 잡고 싶은 짐승들,"['전도연', '정우성', '배성우']",8.39,6.71,6.87,1,osk1****,방금 보고 왔는데 지금 심정이 지푸라기라도 잡고 싶은 심정이다
20,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,6,lililli(wken****),솔직히 그렇게 엄청 웃긴지는 모르겠어요
21,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,10,김다솜(kmjd****),너무 재밌었어용ㅠ 라미란 짱멋…
22,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,5,기다리다번개처럼(ange****),"너무 기대를 많이 했나. 생각보다는 별로.... 스토리가 아쉽고, 뒤로 갈수록 억지웃음과 신파때문에... 표현하고자하는건 알겠으나 라미란씨를 주연으로 썼으면서 좀 아쉽습니다."
23,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,10,벚꽃의계절(twic****),역시 라미란 코미디 연기는 진리다 ㅋㅋㅋㅋ
24,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,10,하니(what****),엥 댓글 알바라고 하먄서 평점 ㅈㄴ 낮춰놓는 게 더 댓글 알바같음 ;; 노잼 조폭 알탕 영화들보다 훨~~씬 나음 라미란 배우님 나문희 배우님 김무열 배우님 윤경호 배우님 외 많은 배우님들 ㅇ코믹 연기 넘 조와요 ㅈㄴ...
25,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,2,위버멘쉬(prof****),영화의 전체적인 취지와 전개는 이해하지만 너무 엉성한 구조와 표현력이 아쉬웠던 졸작^^;
26,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,9,옹잉앙웅(t21g****),개그 코드가 딱 내 스타일이야ㅋㅋ
27,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,10,공주(prin****),아니 사람들마다 좋아하는 요소가 다르고 생각하는게 다른데 왜 자기랑 다르면 다 댓글알바라하는거지?; 일반화 오지네
28,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,9,샤샤샷(pnxq****),기대없이 봐서 그런가 너무 웃음-_-ㅋㅋ
29,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,10,고미진(dbal****),아니진짜 개재밌음 ㅠㅠ 개웃김 미쳤음 ㅋㅋㅋ역대급 코미디임ㅋㅋㅋ 진짜 한 1년동안 재밌는 영화를 못봤는데 ㄹㅇ 개꿀잼 와... 사실 극한직업도 그렇게 웃기진 않다고 생각했는데 진짜 이 영화 스토리도 그렇고 연기도 그...
30,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,10,김고은(safi****),오락영화로 즐기기엔 손색없다
31,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,1,oen88(e2ro****),대체 어떤부분이 웃낀거야 ??
32,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,4,우주인(ljhl****),시간이갈수록 실망스러워졌다...
33,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,4,김호민(ooho****),음... 내가 생각하는 재미랑 여기 사람들이 재밌다고 말하는 재미랑 다른건가..??
34,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,4,구슬잉(12mi****),부모님은 재밌다고 하시는데 저는 좀 지루했어요.. 피식피식 몇번 웃은듯.. 유머코드 맞는 분들이 보시면 좋겠네요
35,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,5,sehd****,"솔직히 말할게요. 보고 왔는데 별로인 영화에요. 많이 오글거리기도 하고 전형적인 어설픈 코미디 한국영화의 클리셰가 다 들어가있네요.  저도 유튜브랑 여기 평점들 읽고 꽤 기대하면서, 그래도 괜찮은 영화겠지 했는데. ..."
36,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,9,양다리(atdx****),코미디영화인데 뭔가 코미디영화같기도하고 가족영화 같기도하고 재밌더라 ㅋ
37,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,2,페르난도토레기(appl****),넷플릭스에서 해주면 20분정도보다가 끄고 유튜브보러갈만한영화
38,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,1,yoshi(nons****),진심 재미있냐이게?? 양심좀챙기자
39,정직한 후보,"['라미란', '김무열', '나문희']",8.6,5.38,7.71,6,시크릿진쥬(kang****),예고편이 다 였던 영화..엄마랑 같이 보러갔었는데 엄마는 자고 나는 계속 하품만 나왔다 ㅠㅜㅠㅜ기대 많이 했는데 아쉬운 영화
40,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,6월의매(hawk****),이 영화는 미쳤다. 넷플릭스가 일상화된 시대에 극장이 존재해야하는 이유를 증명해준다.
41,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,8,hose(jsd9****),충무로: 이거 어케하는거냐?
42,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,소원열차(alst****),촬영감독의 영혼까지 갈아넣은 마스터피스
43,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,소호(katy****),"아카데미에서 촬영상, 음향효과상, 시각효과상을 받은 이유가 고스란히 녹아있는 영화. IMAX로 관람하는걸 추천한다."
44,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,rw06****,오스카 작품상 탔어도 할말 없었을것 같다.
45,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,Shinon(maxi****),주인공을 카메라가 계속 따라가는데.. 세트장이 엄청 넓은거에 놀랐습니다. 직접 1차대전에 참전하는 느낌.. 이때당시 군인들 20년뒤 히틀러라는 극악의 악마로 자식들 다 전장에 몰리고 더 최악의 고통을 받을껀데 참.....
46,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,느와르(igel****),솔직히 연출력만으로 최고의 영화다. 마치 우리가 투명인간이 되서 그들을 지켜보는 듯했다. 마지막장면은 영화 내내 쉴시간이 없었던것에 대한 피로감을 풀어줘서 기승전결도 완벽.
47,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,마른멸치(ally****),닥터스트레인지의 판단력이 좋았다.
48,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,dade****,"처절한 전쟁 속에서, 한 남자를 영웅으로 만든 것은 훈장도 장군의 명령도 아닌 바로 옆 전우였다."
49,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,jeon****,아카데미 작품상이야 작품전체를 보는거니 기생충이 받을수도 있다고 보는데 감독상은 1917 줬어도 할말 없음. 감독의 참신성이 빛을 발함. 결론적으로 아카데미 작품상과 감독상을 1917이 받았어도 아무 할말 없는 것이...
50,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,신형주(shj0****),노래 쳐 안듣고 뛰어갔으면 80명은 더 살렸겠다
51,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,튼튼맘(hyun****),관객을 1917년 4월 6일로 데려놓는 마법같은 작품
52,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,어머어머(asas****),진짜 원테이크 장면 너무 긴거 아님?? 촬영하기 진짜 힘들었을 듯...
53,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,모든뜻(saye****),솔직히 나는 기생충보다 이영화가 더 재미있었다.
54,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,정제니(belo****),앞으로 유사한 영화가 나올때마다 회자될 작품. 특히 원테이크로 보이게 하는 촬영과 연출은 봐도봐도 놀랍다.
55,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,mhho(mhho****),셜록을 찾아 떠나는 여정은 왜이리 험난한가
56,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,두용(mnil****),막판에 횡으로 수많은 병사가 신호와 함께 우르르 튀어나올때 주인공 혼자 종으로 막 달리는 장면 와 진짜ㅋㅋㅋㅋ대박 무조건 아이맥스로 보세요!
57,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,9,U 현(rhdb****),원테이크 촬영신은 볼때마다 대단하다 후보에 오를만 했음
58,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,cin(cine****),"오랜만에 영화란 극장에서 보는 것이라는 느낌을 갖게 해 준 명작. 카메라의 움직임, 배우의 감정, 360도로 전쟁이라는 공간, 주인공에게 주어진 미션과 여정. 그 모든 것이 완벽하게 짜여진 영화. 정말 좋은 영화다...."
59,1917,"['조지 맥케이', '딘-찰스 채프먼']",9.42,7.67,8.98,10,죄니(sosk****),일단..극장에서 보는걸  추천드립니다.카메라감독 상 줘야 할판  엄청나게  잘 찍음
60,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,문덕현(mdh0****),재밌다고 느끼면 추천을 아니다 비추천
61,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,이쁘구나(ehsk****),왜 여성은 사랑을 해야하냐며 말하면서도 사랑을 받고 싶다고 외치던 장면이 너무나 울컥했다 ㅜ 조 꽃길만 걷길~
62,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,8,10(loli****),철없는 막내로만 재현되어왔던 에이미 캐릭터의 재발견. 어쩌면 자매 중에서 제일 고민이 많고 영리했을 여성으로.
63,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,김도아(1204****),“자매를 미워하기엔 인생이 너무 짧아.“ 라는 명대사가 내 마음 속에 강하게 들어왔다.
64,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,파야(paya****),"조가 여자의 전부가 사랑이라는 말이 지긋지긋하지만 너무 외롭다는 말이 공감이 간다. 무기력해지는 자신을 보며 슬퍼하는 걸 보니,나를 보는것 같아 더 슬펐다."
65,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,anh(abri****),영화를 보고 나니 조를 응원하는 내 자신을 발견했다. 잔잔한 감동과 재미가 있는 영화.
66,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,9,재이(oran****),'우리의 어린시절이 끝이났다니 믿겨지지 않아.'격렬하고도 잔잔한 따뜻했던 가족이야기.
67,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,cmyk(cmyk****),13살 때 1995년도판 <작은 아씨들>을 보고 에이미를 네 자매 중 가장 미워했다. 에이미는 욕심많고 허영기 가득한 인물로 보였기 때문이다. 그런데 시간이 흘러 새로 각색한 <작은 아씨들>을 ...
68,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,8,ebbo0(kii1****),내가 영화를 사랑하는 이유
69,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,김문석(eorf****),"엠마왓슨 진짜 존예.. 영화 너무 사랑스럽고 이뻐요..,"
70,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,cottoncandypeony(jiy0****),"영화보다가 나도 모르게 계속 눈물이 나더라.조에 입혀진 나를 만나고, 아직 갈팡질팡한 나에게 조는 말해주는 것 같았어요"
71,작은 아씨들,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨']",9.21,8.0,8.88,10,놀란(son7****),"화려한 의상과 경이로운 스토리, 거기에 더해진 훌륭한 연기로 아름다운 영화를 조각했다."
